error,error_clf,error_rt,error_extra
9153648.0,14918691.8,5949874.1,7416211.7
14995866.8,9567600.9,10335592.7,18099754.6
11965110.0,10919550.8,8457385.2,22836514.6
12069032.7,6532048.1,6440692.7,22005107.7
15497030.9,14441166.6,12122043.4,31051714.6
8537194.4,11443552.9,8922467.5,15122818.3
14119463.1,17645033.7,7849588.8,14542290.8
8271944.1,15960923.7,6918807.9,8488525.9
8805780.3,5554632.1,6328479.9,13969325.4
13952484.7,16557325.7,6968782.8,14183492.8
20493545.8,13010662.4,8825218.6,16503292.7
31307951.0,10157750.5,7609745.6,16986045.9
9782183.4,16985804.6,12378755.4,35977755.8
10628589.0,4335219.4,5344588.6,3952394.9
17586003.7,14051912.1,8296285.8,18608511.4
13868179.2,11657147.3,5675904.8,14062676.3
16961530.8,22755194.9,11807182.3,24672716.1
33869241.2,12065363.3,11911522.5,9604467.8
15850774.9,10700461.5,7043371.8,6748725.9
15349939.5,10056599.7,10380157.5,19300936.9
7810743.9,6580330.3,5954686.0,12807936.9
11031989.2,8566297.6,6624622.2,10388230.7
25951798.3,22506499.2,15201866.4,25745621.4
11204511.8,10588700.6,7200357.7,16219045.8
10936886.4,8744436.9,6294011.3,10110574.1
10227949.7,13378183.3,8306952.9,14653781.1
9991562.5,7054694.7,5394916.3,21468273.8
